,temperature_change_from_co2,gas_co2,population,cumulative_co2,gdp
100,1.370556719752193,1.5053000398657295,1.372735653235725,1.3650810674389307,1.382599213118429
101,1.428209389706535,1.414048525016603,1.4166529751416506,1.431018448870163,1.4050739441176379
102,1.5031578606471794,1.4017373524741188,1.4609663001231132,1.497258810331488,1.4664894099283794
103,1.5665757975969554,1.5916418709331008,1.5052504850055584,1.566031632848175,1.576637195928468
104,1.6069326665649948,1.651418577005076,1.5537391063817785,1.6467353796463082,1.6661988610335
105,1.6761158705102053,1.6040831535456903,1.600471971268423,1.7187268783360052,1.7521800172515065
106,1.7164727394782446,1.7549576080203042,1.6486424627112846,1.7926149474018764,1.850562635683063
107,1.7798906764280207,1.849768421832674,1.6974333236896963,1.8692105016261955,1.967006642793729
108,1.8375433463823627,2.018936155027542,1.7465208863974717,1.9469896017778145,2.058792556026102
109,1.900961283332139,2.1688328126116723,1.7834999620788325,2.025649128634079,2.1074872321703064
110,1.9528486862910466,2.230077199701723,1.830919522601869,2.103245991977076,2.151490135849163
111,2.0047360892499544,2.2786447260977067,1.8772742746306066,2.183307403058559,2.234195740292252
112,2.056623492208862,2.383821961177435,1.9242691341530938,2.268697839376217,2.3265418186652354
113,2.1142761621632036,2.437689501565487,1.974478502416539,2.3513887835629084,2.4539998703607555
114,2.2122857010855848,2.555018228647117,2.01809811640951,2.4358996030235605,2.5841638369938766
115,2.269938371039927,2.7221288427790418,2.0624571535060823,2.5231253143741936,2.7323091769923336
116,2.333356307989703,2.749187794631426,2.106525470108765,2.6110568163783805,2.8735605321875677
117,2.391008977944045,2.7908240027472857,2.1499490423338377,2.6984570288054988,2.9733065997868655
118,2.454426914893821,2.8943314919273373,2.1930729251834093,2.787293387918116,3.1077131974988794
119,2.5524364538162025,3.0194185247801357,2.2365106772869767,2.8790525251225367,3.300546153017075
120,2.615854390765979,3.031052533548666,2.28030937056358,2.971268163318131,3.4144816862394105
121,2.667741793724886,3.1310253658242058,2.324278361452973,3.065818486808886,3.5507898151437294
122,2.765751332647267,3.256815190192039,2.360760578566084,3.1655308803834274,3.7231832000660536
123,2.85223033757878,3.3859937904766912,2.404075321902666,3.2690466095110695,3.9690897322257763
124,2.927178808519425,3.4771881357495595,2.447586672205371,3.376187410698168,4.212202206618167
125,3.019423080446372,3.5601461193118586,2.491258095441306,3.486727787774704,4.491459897155708
126,3.0886062843915822,3.706553461379545,2.5351965192696015,3.600738577101375,4.768517772124107
127,3.163554755332226,3.85879111454321,2.5848130599703025,3.7167787771248024,4.928038235268684
128,3.2385032262728717,3.78312520900087,2.632251188235655,3.831623827622722,4.941281142211692
129,3.3307474981998184,4.105772555119495,2.685132301997052,3.952621185187414,5.281143184862137
130,3.417226503131331,4.228843867568019,2.7407748524497904,4.077928248195541,5.537724306149145
131,3.49794024106741,4.361487141310385,2.787846107040865,4.20528331043452,5.730003301369673
132,3.5728887120080537,4.423264782551394,2.835301805779742,4.334027134836187,5.9377399749316755
133,3.647837182948699,4.509098987208888,2.882347565235746,4.463625082766049,6.16100454943528
134,3.7458467218710796,4.662267124510272,2.9281725779477656,4.592866592285711,6.376154333141077
135,3.8438562607934617,4.7998052967991525,2.9733225086285593,4.721850566038124,6.510800886361471
136,3.9245699987295404,4.9170147563165205,3.0185975549403845,4.852437481346076,6.730112724123996
137,4.045640605633658,5.227010869482159,3.062700891248855,4.985626255746941,6.965862404722488
