,year,population,gdp,co2,cement_co2,cumulative_co2,co2_per_capita,co2_per_gdp,gas_co2,oil_co2,temperature_change_from_co2,temp,pred,pred_low,pred_high
82,1963,2762179273.0,13091947291824.0,7943.7919999999995,148.596,298497.785,445.664,44.638,843.2280000000001,2936.518,0.29,0.05,-0.021813210779021416,-0.09207492768283275,0.04844850612478992
83,1964,2826002791.0,13986547644832.0,8343.581,166.119,306841.448,468.618,45.986000000000004,909.126,3167.82,0.294,-0.2,-0.023396396417333147,-0.09365811332114449,0.046865320486478186
84,1965,2887533238.0,14716694779168.0,8692.082,172.133,315533.512,478.566,46.064,951.5350000000001,3420.514,0.299,-0.11,-0.019181830052708806,-0.08944354695652014,0.05107988685110253
85,1966,2948558479.0,15482049515304.0,9084.697,183.916,324618.211,465.195,44.745,1031.925,3694.761,0.305,-0.06,-0.020133996741513324,-0.09039571364532466,0.05012772016229801
86,1967,3009327357.0,16063425097856.0,9312.492,187.244,333930.69299999997,462.022,46.494,1097.2089999999998,3911.451,0.308,-0.02,-0.01550449150958861,-0.08576620841339994,0.054757225394222724
87,1968,3072558497.0,16922069927728.0,9862.362,200.042,343793.054,481.697,49.664,1197.6019999999999,4281.786,0.313,-0.08,-0.01800527023904524,-0.08826698714285658,0.052256446664766094
88,1969,3138286399.0,17936375187984.0,10573.813,213.24699999999999,354366.886,570.614,51.808,1316.1,4649.804999999999,0.316,0.05,-0.022227161070013053,-0.09248887797382438,0.04803455583379828
89,1970,3214722943.0,18893083461312.0,11644.39,228.658,370650.866,587.413,55.898,1411.586,5374.2080000000005,0.325,0.03,-0.009780344705030086,-0.08004206160884142,0.06048137219878125
90,1971,3281238892.0,19677698289184.0,12037.02,239.948,382687.86799999996,609.023,56.016,1513.205,5687.795,0.337,-0.08,-0.00842416018011484,-0.07868587708392617,0.061837556723696493
91,1972,3347953423.0,20671704362784.0,12600.249,255.881,395288.126,624.406,55.721000000000004,1612.3509999999999,6134.746,0.347,0.01,-0.006476605561460819,-0.07673832246527215,0.06378511134235051
92,1973,3527778131.0,23006982880328.0,14296.255,291.354,427016.965,769.397,68.72,1873.6499999999999,6852.682,0.372,0.16,-0.0025706668540013133,-0.07283238375781265,0.06769105004981002
93,1974,3481309046.0,22479013720000.0,13102.210000000001,268.545,421649.69,625.331,54.656,1760.3169999999998,6296.25,0.359,-0.07,0.012355729619808839,-0.057905987284002494,0.08261744652362017
94,1975,3546182474.0,22836926560016.0,13031.498,262.271,434681.179,607.276,55.611,1718.8849999999998,6193.258,0.365,-0.01,0.04365396745033477,-0.026607749453476562,0.1139156843541461
95,1976,3610078529.0,23842755812288.0,13819.798,274.785,448500.995,640.511,57.151,1803.5710000000001,6649.792,0.376,-0.1,0.050830179035086326,-0.019431537868725007,0.12109189593889766
96,1977,3674055425.0,24859641598352.0,14182.475,288.565,462683.463,626.079,56.074,1818.051,6875.7300000000005,0.386,0.18,0.06959165019006361,-0.0006700667137477245,0.13985336709387494
97,1978,3738160731.0,26097585844912.0,14624.156,309.519,477307.622,641.995,57.087,1898.709,7083.46,0.395,0.07,0.07803211220521758,0.007770395301406247,0.1482938291090289
98,1979,3803992142.0,27200944841728.0,15095.101,317.578,492402.719,652.71,57.624,1990.1799999999998,7150.407999999999,0.401,0.16,0.08827261598552447,0.018010899081713133,0.1585343328893358
99,1980,3995206447.0,29006434048560.0,16188.763,339.318,534180.3960000001,749.623,68.131,2251.713,7318.469,0.432,0.26,0.12156752542892596,0.05130580852511463,0.1918292423327373
100,1981,4066727147.0,29562847322096.0,15815.184,338.579,549995.564,721.282,66.652,2262.001,6957.487,0.44,0.32,0.14977254787271843,0.0795108309689071,0.22003426477652976
101,1982,4140622236.0,29863119646688.0,15632.522,336.579,565628.106,700.993,66.496,2169.424,6780.506,0.45,0.14,0.19423112571610124,0.1239694088122899,0.26449284261991257
102,1983,4215183638.0,30683657373504.0,15704.378999999999,342.017,581332.479,682.483,65.351,2156.934,6700.53,0.46299999999999997,0.31,0.22114986927862285,0.1508881523748115,0.2914115861824342
103,1984,4289696009.0,32155280404368.0,16304.779999999999,349.658,597637.252,702.741,65.177,2349.5969999999998,6773.986,0.474,0.15,0.21397069454675677,0.14370897764294543,0.2842324114505681
104,1985,4371282746.0,33351863775104.0,16802.624,355.937,616770.628,733.346,68.745,2410.2419999999997,6752.173,0.481,0.12,0.23735001510553932,0.167088298201728,0.30761173200935066
105,1986,4449915255.0,34500609966976.0,17067.861,370.919,633838.49,735.395,69.779,2362.219,6987.813,0.493,0.18,0.27018846493639553,0.1999267480325842,0.34045018184020687
106,1987,4530966708.0,35815045166976.0,17517.511,387.493,651355.994,723.924,70.436,2515.285,7010.673,0.5,0.32,0.2744529019140228,0.20419118501021144,0.3447146188178341
107,1988,4613061992.0,37370788490496.0,18159.388,410.079,669515.393,727.028,70.215,2611.473,7262.977,0.511,0.39,0.2852152312253385,0.21495351432152715,0.3554769481291498
108,1989,4695656505.0,38597088797808.0,18440.007,419.859,687955.389,737.206,70.502,2783.098,7362.487,0.521,0.27,0.2889572507981532,0.21869553389434188,0.35921896770196454
109,1990,4757877332.0,39247671160800.0,18687.038,418.90500000000003,706604.118,733.515,68.181,2935.172,7288.316,0.532,0.45,0.3027516299488566,0.2324899130450453,0.37301334685266796
110,1991,4837665272.0,39835569373104.0,19221.88,429.253,725000.909,1051.639,103.969,2997.306,7781.938,0.541,0.4,0.32906074336062097,0.25879902645680963,0.3993224602644323
111,1992,4915661570.0,40940552747712.0,18981.11,453.45799999999997,743981.9990000001,702.296,68.351,3046.579,7499.907,0.55,0.22,0.3541730209406039,0.28391130403679254,0.4244347378444152
112,1993,4994734910.0,42174337108512.0,19304.97,476.932,764226.503,741.253,69.691,3153.284,7575.251,0.559,0.23,0.37294962187736186,0.3026879049735505,0.4432113387811732
113,1994,5079216968.0,43877232928352.0,19593.327,517.356,783831.007,735.317,66.938,3207.9339999999997,7662.287,0.569,0.31,0.39255892603240666,0.32229720912859533,0.462820642936218
114,1995,5152611135.0,45616280965920.0,20035.989,548.936,803866.97,717.242,64.863,3326.9669999999996,7722.273,0.586,0.44,0.40201694916445524,0.3317552322606439,0.4722786660682666
115,1996,5227249452.0,47595568087104.0,20679.608,565.641,824546.584,729.088,62.662,3496.505,7966.871999999999,0.596,0.33,0.40574243307162106,0.3354807161678097,0.4760041499754324
116,1997,5301398604.0,49482748528896.0,20846.971999999998,589.66,845393.528,735.713,59.725,3523.957,8083.065,0.607,0.46,0.4314899281112543,0.361228211207443,0.5017516450150656
117,1998,5374462912.0,50815400011488.0,20720.974,593.674,866114.513,719.143,57.21,3566.198,8151.473,0.617,0.6,0.4602960891843807,0.39003437228056936,0.530557806088192
118,1999,5447022964.0,52611131472608.0,21061.472,623.021,887175.9820000001,708.357,54.203,3671.2090000000003,8260.386999999999,0.628,0.38,0.476137849635592,0.4058761327317807,0.5463995665394034
119,2000,5520111131.0,55187464858464.0,21754.443,649.6469999999999,908930.3879999999,730.104,52.352,3798.1130000000003,8486.464,0.645,0.39,0.4813194082344815,0.41105769133067016,0.5515811251382928
120,2001,5593806616.0,56709693863808.0,21862.604,678.079,930793.022,737.685,50.503,3809.916,8539.189,0.656,0.53,0.5155823617426231,0.44532064483881173,0.5858440786464344
121,2002,5667788643.0,58530830620832.0,22416.143,714.8870000000001,953209.167,739.125,48.758,3911.3410000000003,8518.446,0.665,0.62,0.5359560663839581,0.46569434948014676,0.6062177832877694
122,2003,5729173458.0,60834082323232.0,23658.502,767.225,976849.144,767.509,48.505,4038.958,8770.322,0.6819999999999999,0.61,0.5496025247187233,0.47934080781491195,0.6198642416225346
123,2004,5802054651.0,64119502115200.0,24541.668999999998,824.402,1001390.8219999999,780.294,46.767,4170.013,9089.12,0.697,0.53,0.5558157305224062,0.48555401361859485,0.6260774474262175
124,2005,5875266654.0,67367592062336.0,25401.134,876.861,1026791.938,784.745,44.547,4262.532,9124.544,0.71,0.67,0.5710480342795667,0.5007863173757554,0.6413097511833781
